archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer;coincidencia_titulo
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 03 (Remasterizado)\11 - Bartolo (Instrumental Remasterizado).flac;Bartolo;Bartolo;Francisco Canaro;Francisco Canaro;; ;1927-01-19;1927-01-19;maxixe;maxixe;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 06 (Remasterizado)\13 - Catalina (Instrumental Remasterizado).flac;Catalina;Catalina;Francisco Canaro;Francisco Canaro;; ;1927-04-07;1927-04-07;maxixe;maxixe;Musica: Edgardo Donato y Carlos Warren;Musica: Edgardo Donato y Carlos Warren;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1927-1931)\02.Luis Di Sipio - Rouge (19-10-1927).flac;Rouge;Rouge;Francisco Canaro;Francisco Canaro;;;1927-10-19;1927-09-23;tango;tango;Musica: Luis Di Sipio;Musica: Luis Di Sipio;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 19 (Remasterizado)\1 - Dale Que Dale (Instrumental Remasterizado).flac;Dale que dale;Dale que dale;Francisco Canaro;Francisco Canaro;; ;1928-01-03;1928-01-03;maxixe (jazz band);maxixe (jazz band);Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 22 (Remasterizado)\15 - La Refalosa (Instrumental Remasterizado).flac;La refalosa;La refalosa;Francisco Canaro;Francisco Canaro;; ;1928-05-12;1928-05-12;polca;polca;Musica: Francisco Canaro;Musica: Francisco Canaro;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 23 (Remasterizado)\8 - Pájaro Azul (Instrumental Remasterizado).flac;Pájaro azul;Pájaro azul;Francisco Canaro;Francisco Canaro;; ;1928-05-19;1928-05-19;tango fantasia;tango fantasia;Musica: Francisco Canaro;Musica: Francisco Canaro;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 18 (Remasterizado)\20 - Quedate Quieta (Instrumental Remasterizado).flac;Quedate quieta;Quedate quieta;Francisco Canaro;Francisco Canaro;; ;1928-01-03;1928-01-03;maxixe;maxixe;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\7\02 Pajaro Azul.mp3;Pájaro azul;Pájaro azul;Francisco Canaro;Francisco Canaro;; ;1929-12-17;1929-12-17;tango fantasia;tango fantasia;Musica: Francisco Canaro;Musica: Francisco Canaro;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 33 (Remasterizado)\16 - Rogando en Vano (Instrumental Remasterizado).flac;Rogando en vano;Rogando en vano;Francisco Canaro;Francisco Canaro;; ;1929-04-30;1929-04-30;pasodoble;pasodoble;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 37 (Remasterizado)\12 - Cañero (Instrumental Remasterizado).flac;Cañero;Cañero;Francisco Canaro;Francisco Canaro;; ;1929-08-02;1929-08-02;pasodoble;pasodoble;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 38 (Remasterizado)\2 - Tio Quico (Instrumental Remasterizado).flac;Tio Quico;Tio Quico;Francisco Canaro;Francisco Canaro;; ;1929-08-14;1929-08-14;pasodoble;pasodoble;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 38 (Remasterizado)\12 - San Sebastián (Instrumental Remasterizado).flac;San Sebastian;San Sebastian;Francisco Canaro;Francisco Canaro;; ;1929-08-28;1929-08-28;pasodoble;pasodoble;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
