 BPM, POPULARITY,AUTHOR,AUTHOR (2),COMPOSER,DATE,DIRECTOR,LYRICS,ORCHESTRA,SINGER,SOLOIST,TITLE,URL
,,José María Contursi,,Osvaldo Fresedo,1942-10-29,,"Noche azul, tan llena de quietud,
como en aquellos días...
Emoción de nuestra juventud
perdida en el ayer.
Me alejé sin comprender su amor
y nunca la busqué
y hoy que soy así como un dolor entre las sombras
no puedo ya volver.

Si de mí te has olvidado
¿qué haré con esta vida
que se aturde en un pasado
de dichas ya perdidas?
¿A dónde iré llorando?
¿A dónde iré muriendo
que no me estén mirando
tus ojos como ayer?
Si de mí te has olvidado
mi mente no te olvida...
Si te mí te has olvidado
se acabará mi vida...
Y en este drama horrendo
de andar por ti llorando
yo sé que ni muriendo
de ti me olvidaré.

Si una vez llegaras a escuchar
estas palabras mías,
recordando sé que has de llorar
por este viejo amor.
Cada vez me siguen más y más
tus ojos y tu voz...
Y al saberme así, como un dolor entre las sombras
me ahoga el corazón.",Rodolfo BIAGI,Jorge Ortiz,,Si de mí te has olvidado (TANGO),https://www.el-recodo.com/music?id=00021&lang=en
,,José María Suñé,,Miguel Nijensohn y José Nieso,1944-09-15,,"Si la voz del pasado
Despierta contigo,
No la apartes de tu lado
Que esa voz es el regalo
Que te manda mi pasión.
Y te dirá que lo nuestro
Aún vive conmigo,
Que no hay nadie que al oído
Te regale como yo
Madrigales en canción...

Era un sueño que cantaba en los dos
Era un beso de ternura en la voz,
Era el ángel que el destino
Nos presenta en la ilusión.
Pero vino un viento malo
Soplando... soplando...
Nuestro sueño y nuestro amor
Sin piedad los destruyó...

Si esa voz del pasado
Se arrulla contigo,
Vencerás al viento malo
Que nos hizo tanto daño,
Malquistando nuestro amor.
Se hará un canto el anhelo
Que viene contigo,
Construiremos nuestro nido
Olvidando de aquel
Viento malo del ayer...",Rodolfo BIAGI,Alberto Amor,,Viento malo (TANGO),https://www.el-recodo.com/music?id=00022&lang=en
,,Armando Tagini,,Venancio Clauso,1941-03-26,,"Drama real es este que en verso rememoro
al oír los compases de la Marcha Nupcial,
mientras Cupido llora sobre un bolsón de oro,
un alma ve esfumarse su fe sentimental.
Ensueños ahogados en torpe ambición,
¡Triunfo del oro sobre el corazón!

Te vi salir del templo con tu flamante esposo,
envuelta en los acordes de la Marcha Nupcial.
Un resplandor de dicha te iluminaba el rostro,
el porte de una reina lucías al andar...
En mi rededor, las gentes comentaban tu belleza.
Yo sentía mi herido pecho estremecerse de emoción...
Me daba vueltas la cabeza.
¡Y era la angustia del corazón!

¡Dulce tiempo que estás en la distancia!
¡Cuántos juramentos! ¡Cuántas ilusiones!
Tus palabras, tus risas, tu fragancia.
¡Castillos de esperanza barridos por el viento!
Yo era pobre... soñador.. ebrio de luna...
(No pude ofrecerte mas bien que mi ternura)
Vos echaste a una balanza tu hermosura
y el dinero de otro pesó más.

En lágrimas secretas se ahogan mis reproches,
oyendo el homenaje de la Marcha Nupcial...
Miré partir tu coche que se perdió en la noche...
y huí con mi doliente... profunda soledad...
El eco de la marcha se adentró hasta lo más hondo
sonó con ritmo de responso... sobre el cadáver de mi corazón.",Rodolfo BIAGI,Jorge Ortiz,,La marcha nupcial (TANGO),https://www.el-recodo.com/music?id=00023&lang=en
,,Enrique Cadícamo y Umberto Bertini,,Nino Ravasini,1940-10-04,,"Por un beso de amor
Amada mía,
Mi poema mejor
Escribiría.

Por un beso de amor
Al cielo iría,
¡Ay!, Qué lindo es decir,
Yo me siento morir
Por un beso de amor.",Rodolfo BIAGI,Jorge Ortiz,,Por un beso de amor (Per un bacio d'amor) (VALS),https://www.el-recodo.com/music?id=00024&lang=en
,,Carlos Marín,,Rodolfo Biagi,1959-09-16,,"Cuando era un bambino
yo soñaba con llegar.
loco de ambiciones
todo el mundo a conquistar,
sin saber que luego iba a sufrir
aquel beso, que al partir,
me dejara sin hablar.
¡Oh, mia bella Italia!
Muchas veces te añoré.
¿Dónde está mi madre?
¿Por qué ingrato la dejé?
¿En qué muelle, acaso, aguardará,
o en qué barco llegará?
¡Para qué la esperaré!

¡Oh, mama mía!
¡Qué lejana estás!
Dime en qué puerto
tú me esperarás.
¡Oh, mama mía!
¿Te recuerdas de mí?
Y nunca he dejado
de rogar por ti.",Rodolfo BIAGI,Hugo Duval,,Oh mama mía (TANGO),https://www.el-recodo.com/music?id=00025&lang=en
,,David Farina Ortiz,,Antonio Arcieri,1940-06-28,,"Flaco, trigueño... mirada fiera
Daga cayendo del pantalón,
Dice su vieja pinta orillera
¡Cancha!... Soy guapo de corazón.
¡Arrabalero!... Flor del suburbio
Yerbita criolla del barrio sur,
Cuando un amigo le juega turbio
Pela su fierro, corre el albur.

Guapo, buen mozo
Del arrabal...
Tigre pa´l canto
Luz pa´ bailar.
Dice la gente
Al verlo pasar
Con una criolla
Que es un rosal:
“Falla el coraje
contra el amor,
ahí va Tranquera
rey del facón”
“¡Ah!... quién pudiera
cueriarlo al sol
como esa prenda
lo basurió”

En los candombes de las barriadas
O en la trastienda del almacén,
Ganó sus lauros a puñaladas
Y algunas veces mató también.
Y ensimismado en su propia gloria
Gaucho moderno, sin chiripá,
Es un recuerdo y es una historia
Del Buenos Aires que ya se va.",Rodolfo BIAGI,Jorge Ortiz,,Pinta orillera (TANGO),https://www.el-recodo.com/music?id=00026&lang=en
,,Celedonio Flores,,José Ricardo y Carlos Gardel,1947-09-23,,"Se te embroca desde lejos, pelandruna abacanada,
que has nacido en la miseria de un convento de arrabal...
Porque hay algo que te vende, yo no sé si es la mirada,
la manera de sentarte, de mirar, de estar parada
o ese cuerpo acostumbrado a las pilchas de percal.
Ese cuerpo que hoy te marca los compases tentadores
del canyengue de algún tango en los brazos de algún gil,
mientras triunfa tu silueta y tu traje de colores, 
entre el humo de los puros y el champán de Armenonville.

Son macanas, no fue un guapo haragán ni prepotente
ni un cafisho de averías el que al vicio te largó...
Vos rodaste por tu culpa y no fue inocentemente...
¡berretines de bacana que tenías en la mente
desde el día que un magnate cajetilla te afiló!

Yo recuerdo, no tenías casi nada que ponerte,
hoy usas ajuar de seda con rositas rococó,
¡me reviente tu presencia... pagaría por no verte...
si hasta el nombre te han cambiado como has cambiado de suerte:
ya no sos mi Margarita, ahora te llaman Margot!

Ahora vas con los otarios a pasarla de bacana
a un lujoso reservado del Petit o del Julien,
y tu vieja, ¡pobre vieja! lava toda la semana
pa' poder parar la olla, con pobreza franciscana,
en el triste conventillo alumbrado a kerosén.",Rodolfo BIAGI,Carlos Saavedra,,Margot (TANGO),https://www.el-recodo.com/music?id=00027&lang=en
,,María Luisa Carnelli,,Juan de Dios Filiberto,1946-11-22,,"Sollozó el bandoneón
congojas que se van
con el anochecer.

Y como un corazón,
el hueco de un zaguán,
recoge la oración
que triste dice fiel mujer.

Lloró la milonga,
su antigua pasión,
parece que ruega
consuelo y perdón.

La sombra cruzó
por el arrabal
de aquel que a la muerte
jugó su puñal.

Dos viejos unidos
en un callejón,
elevan las manos
por su salvación.

Y todo el suburbio,
con dolor,
evocan un hondo
drama de amor.

Conmovió el arrabal
con largo estremecer
el toque de oración.

Dolor sentimental
embarga a la mujer
en tanto el bandoneón
la historia reza de un querer.",Rodolfo BIAGI,Alberto Amor,,Cuando llora la milonga (TANGO),https://www.el-recodo.com/music?id=00028&lang=en
,,Jesús Fernández Blanco,,Andrés Domenech,1943-12-07,,"Bañao por los rayos del sol que se incendia muriendo en la tarde detrás del ceibal, va un gaucho al tranquito rumiando su pena, camino del rancho que besa un sauzal... Lonjazos del zonda castigan los cerros, allá por las peñas dispara un huemul, y el alma del gaucho recoge las notas de dulce tristeza que canta el kacuy. Regresa triste del valle, donde al lao de un ciprés, dejó pa' siempre a la china que era tuito su querer... ¿Por qué te fuiste, mi vida?, dice lleno de dolor... ¡Tal vez por linda y por güena Dios de envidia te llevó! Envuelto en su poncho, guasqueao por el viento, igual que un fantasma, llevando su cruz, va el gaucho cruzando los campos dormidos, camino del rancho sin alma y sin luz... Pasó la tranquera y el pingo miraba, tal vez extrañao de no verla más, y el gaucho le dijo: ¡No mire, mi pingo, que la patroncita ya no volverá! Entró al ranchito en silencio y dos velas encendió al pie de la Virgencita que sus rezos escuchó. ¡Decile que no me olvide, Virgencita del Perdón, decíla que su gauchito se ha quedao sin corazón!",Rodolfo BIAGI,Carlos Acuña,,Lonjazos (TANGO),https://www.el-recodo.com/music?id=00029&lang=en
,,Federico Silva,,Alberto Nery,1946-01-31,,"Con negro humo se pintó la noche...
¡Le pusieron filos las ruedas de un coche!...
Con negro humo borraré mis quejas...
¡Con el negro turbio de la noche vieja!...
Barrio trasnochado... Callejuela angosta...
Portón y empedrado... Charquito y farol...
Un Gardel de esquina —un percal florido—
y en la noche mansa... ¡glicina y malvón!...

Marol... Marol... Marol...
tú eras de ese barrio.
De ese barrio lejano del ayer...
y la nostalgia.
¡Marol!...
Se marcharon tus manos y tu voz.
Se apagaron tus pupilas de carbón...
Pero mi emoción
ya no te olvidará... ¡Marol!...",Rodolfo BIAGI,Alberto Amor,,Marol (TANGO),https://www.el-recodo.com/music?id=00030&lang=en
,,Armando Tagini,,Alejandro Junnissi,1952-11-05,,"Tu ternura y mi pasión,
tu alegría y mi canción,
son capítulos de ayer.
Fue tu amor vino y miel
que bebí con fruición;
tu reír, cascabel
que alegró el corazón.
Fue tu voz ""yaraví""
que meció mi soñar
y tu fe prendió en mi
la ansiedad de triunfar.
Sólo al perderte aprendí
¡cuánto valía tu amor!
Y yo, que siempre reí,
supe llorar de dolor.
Fuiste un ángel, lo se.
Me inundaste de luz.
Y tus alas clavé
de mi orgullo la cruz.

Mi bien, ¿qué recodo traidor
de la senda triunfal
acechó a nuestro amor
en su trampa mortal
para cegarnos y causarnos
tanto mal?...
Mi bien, ¿qué recodo traidor
sin razón ni piedad
desvió nuestro amor
de la felicidad
que tu acunabas
y soñaba mi ansiedad?...

¡Fue mi orgullo torpe y vano!
Un recodo de espejismo
donde el sueño se estrelló
y el porvenir rodó al abismo.
A este abismo desolado
donde todo es inclemencia,
donde vivo torturado
y el frío de tu ausencia
me hiela el corazón.",Rodolfo BIAGI,Instrumental,,El recodo (TANGO),https://www.el-recodo.com/music?id=00031&lang=en
,,Alfredo David,,Alfredo David,1941-03-15,,"Me amenazas con dejarme
Abandonado a mi suerte,
A pesar de ser muy fuerte
Sin vos, no podré vivir.

Pensalo bien, no te vayas
No ves que te necesito,
Para nuestro pobre hijito
Que sin vos ha de sufrir.",Rodolfo BIAGI,Jorge Ortiz,,Será lo mejor (TANGO),https://www.el-recodo.com/music?id=00032&lang=en
,,Abel Aznar,,Luciano Leocata,1953-05-19,,"La cruz de esta esquina nos pone otra vez
el alma en los ojos, el ansia en la voz.
Con miedo nos miramos pensando que tal vez
aún está el rencor en uno de los dos.
No es cierto, mi vida; no es cierto, mi amor,
que tanto martirio por fin terminó,
que ahora al encontrarnos de regreso,
entre lágrimas y besos,
volvemos del adiós.

¿Lloras?
¡Qué bien me haces con tu llanto!
Tanto
que ya me duele el corazón.
No me hables de tu herida,
no me nombres el pasado
ni ese sueño destrozado
con razón o sin razón.
Yo también estuve herido
y esperando inútilmente
con los puños en la frente,
siempre ausente y perseguido.
¿Lloras?
¡También yo sé lo que es estar
los ojos llenos de sangre
de tanto y tanto llorar!

La antigua vereda y el gran paredón,
la esquina de siempre, la luz del andén...
Recuerda cuántas noches se iba tu emoción
detrás del humo azul que se llevaba el tren.
No es cierto, mi alma; no es cierto, mi amor,
que es linda la vida y sólo recién
sabemos lo que vale todo eso,
cuando vuelve, en el regreso,
un beso y un ayer.",Rodolfo BIAGI,Carlos Heredia,,Y volvemos a querernos (TANGO),https://www.el-recodo.com/music?id=00033&lang=en
,,César Córdoba,,Edgardo Donato,1946-08-16,,"Grito... de mi alma atormentada
Llanto... de una pena desatada.
Sombra... que se desangra en la noche
Como un extraño fantoche
Con las dos alas quebradas.
Grito... que brota como un reproche
De aquella turbia mirada.

Se fue aquel día mientras la bruma
De gris cubría sus ojos negros.
Se fue alejando mientras mi grito
Quiso aferrarse a sus despojos.
Llora la noche, lloraba el viento
Mi voz opaca ya no gimió.
Se hizo más grande mi desaliento
¡Por eso grito, porque partió!

Pena... por tu voz que está callada.
Rezo... de una lágrima asomada.
Ansias... que se agigantan en la noche,
Como este extraño fantoche
De las alas quebradas.
Grito... que brota como un reproche
De mi vida fracasada.",Rodolfo BIAGI,Carlos Saavedra,,Por eso grito (TANGO),https://www.el-recodo.com/music?id=00034&lang=en
