unique_value,repetition_count,position,same_orchestra,orchestra_value,group_data
tango vals,3,76,True,Miguel Caló,"                        title      artist1  ...   ano          artist2
0  Bajo un cielo de estrellas  Miguel Caló  ...  1941  Alberto Podestá
1           Pedacito de cielo  Miguel Caló  ...  1942  Alberto Podestá
2                Flor de lino  Miguel Caló  ...  1946     Raul Iriarte

[3 rows x 13 columns]"
cortina entera,1,79,True,Jain,"    title artist1   album        year  ... extension    bitrate   ano artist2
0  Makeba    Jain  Zanaka  2017-05-05  ...      flac  858.55098  2017     NaN

[1 rows x 13 columns]"
tango,3,80,True,Aníbal Troilo,"                                           title  ...         artist2
0  Tal vez será su voz (Tal vez será mi alcohol)  ...  Alberto Marino
1                         Cotorrita de la suerte  ...  Alberto Marino
2                                          María  ...  Alberto Marino

[3 rows x 13 columns]"
cortina entera,1,83,True,Bruce Springsteen,"                 title            artist1  ...   ano            artist2
0  Paradise By the ""C""  Bruce Springsteen  ...  1978  The E Street Band

[1 rows x 13 columns]"
tango,3,84,True,Edgardo Donato,"       title         artist1  ...   ano        artist2
0   Te busco  Edgardo Donato  ...  1941  Horacio Lagos
1  A oscuras  Edgardo Donato  ...  1941  Horacio Lagos
2   El adiós  Edgardo Donato  ...  1938  Horacio Lagos

[3 rows x 13 columns]"
cortina entera,1,87,True,Olivia Rodrigo,"           title         artist1 album  ...      bitrate   ano artist2
0  get him back!  Olivia Rodrigo  Guts  ...  1852.127891  2023     NaN

[1 rows x 13 columns]"
tango,3,88,True,Pedro Laurenz,"                title        artist1  ...   ano          artist2
0               Garúa  Pedro Laurenz  ...  1943  Alberto Podestá
1  Que nunca me falte  Pedro Laurenz  ...  1943  Alberto Podestá
2              Recién  Pedro Laurenz  ...  1943  Alberto Podestá

[3 rows x 13 columns]"
cortina entera,1,91,True,Sean Paul feat. Dua Lipa,"    title                   artist1  ...   ano artist2
0  No Lie  Sean Paul feat. Dua Lipa  ...  2017     NaN

[1 rows x 13 columns]"
tango,3,92,True,Ricardo Tanturi,"                  title          artist1  ...   ano         artist2
0                Malvón  Ricardo Tanturi  ...  1943  Enrique Campos
1  Sollozo de bandoneón  Ricardo Tanturi  ...  1943  Enrique Campos
2           Oigo tu voz  Ricardo Tanturi  ...  1943  Enrique Campos

[3 rows x 13 columns]"
cortina entera,1,95,True,Adele,"                              title artist1  ...   ano artist2
0  Someone Like You (Live Acoustic)   Adele  ...  2011     NaN

[1 rows x 13 columns]"
tango,3,96,True,Juan D'Arienzo,"                  title         artist1  ...   ano       artist2
0  Si la llegaran a ver  Juan D'Arienzo  ...  1943  Héctor Mauré
1              El olivo  Juan D'Arienzo  ...  1941  Héctor Mauré
2               Amarras  Juan D'Arienzo  ...  1944  Héctor Mauré

[3 rows x 13 columns]"
