title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
Re fa si,Francisco Canaro,1949-02-17,tango,Musica: Enrique Delfino,D:\Dropbox\TDJ\MUSICA\Eduardo\6\20 Re Fa Si.mp3,True,True,1,False,True,True
Confesión,Francisco Canaro / Mario Alonso,1949-07-21,tango,Musica: Enrique Santos Discepolo - Letra: Enrique Santos Discepolo y Luis César Amadori,D:\Dropbox\TDJ\MUSICA\Eduardo\6\20 Confesion.mp3,True,True,1,False,True,True
Ausencia,Francisco Canaro / Alberto Arenas y Enrique Lucero,1949-04-13,tango vals,Musica: Carlos Gardel y José Razzano - Letra: Francisco Bianco,"D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Evocando el 40\Francisco Canaro, cantan Alberto Arenas y Enrique Lucero - Ausencia.flac",True,True,1,False,True,True
Ausencia,Francisco Canaro / Alberto Arenas y Enrique Lucero,1949-04-13,tango vals,Musica: Carlos Gardel y José Razzano - Letra: Francisco Bianco,D:\Dropbox\TDJ\MUSICA\Eduardo\2\11 Ausencia.mp3,True,True,1,False,True,True
El último organito,Francisco Canaro / Alberto Arenas,1949-10-13,tango,Musica: Acho Manzi - Letra: Homero Manzi,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Los Grandes Tangos Del '40 - Reliquias\Francisco Canaro - Alberto Arenas - El Último Organito.flac,True,True,1,False,True,True
El último organito,Francisco Canaro / Alberto Arenas,1949-10-13,tango,Musica: Acho Manzi - Letra: Homero Manzi,D:\Dropbox\TDJ\MUSICA\Eduardo\2\13 El Ultimo Organito.mp3,True,True,1,False,True,True
Confesión,Francisco Canaro / Mario Alonso,1949-07-21,tango,Musica: Enrique Santos Discepolo - Letra: Enrique Santos Discepolo y Luis César Amadori,"D:\Dropbox\TDJ\MUSICA\Edmundo\Canaro\Francisco Canaro, Mario Alonso - Confesión.flac",True,True,1,False,True,True
Buenos Aires,Francisco Canaro / Alberto Arenas,1949-04-13,tango,Musica: Manuel Jovés - Letra: Manuel Romero,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias - Canta Alberto Arenas - El Tango De Buenos Aires\Francisco Canaro - Alberto Arenas - Buenos Aires.flac,True,True,1,False,True,True
Una lágrima tuya,Francisco Canaro / Mario Alonso,1949-10-13,tango malambo,Musica: Mariano Mores - Letra: Homero Manzi,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias- ¿Te acordás hermano\Francisco Canaro & Mario Alonso - Una lágrima tuya.flac,True,True,1,False,True,True
Una lágrima tuya,Francisco Canaro / Mario Alonso,1949-10-13,tango malambo,Musica: Mariano Mores - Letra: Homero Manzi,D:\Dropbox\TDJ\MUSICA\Eduardo\6\18 Una Lágrima Tuya.mp3,True,True,1,False,True,True
Arrabalera,Francisco Canaro,1950-10-03,tango milonga,Musica: Osvaldo Fresedo - Letra: Eduardo Calvo,D:\Dropbox\TDJ\MUSICA\Edmundo\Canaro\Francisco Canaro - Arrabalera.flac,True,False,0,False,True,False
Piccolo navio,Francisco Canaro / Alberto Arenas,1950-12-06,tango,Musica: Luis Riccardi - Letra: Juan Andrés Caruso,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Francsico Canaro y su orquesta tipica 1050 1057\Francisco Canaro - Piccolo navio.flac,True,True,1,False,True,True
Por La Güella,Francisco Canaro,1950,tango milonga,"R, Biagi - H. Manzi",D:\Dropbox\TDJ\MUSICA\Eduardo\sc2\07 Por La Güella.mp3,True,False,0,False,True,False
Pa Que Lo Oigan,Francisco Canaro,1950,tango milonga,M. Bucino,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\09 Pa Que Lo Oigan.mp3,True,True,1,False,True,False
El llorón,Francisco Canaro / Alberto Arenas,1950-12-06,tango,Musica: Juan Maglio - Letra: Enrique Cadícamo,D:\Dropbox\TDJ\MUSICA\Eduardo\7\06 El Llorón.mp3,True,True,1,False,True,True
El Torito,Francisco Canaro,1950,tango milonga,,D:\Dropbox\TDJ\MUSICA\Edmundo\Canaro\Francisco Canaro - El Torito.flac,True,False,0,False,True,False
Piccolo navio,Francisco Canaro / Alberto Arenas,1950-12-06,tango,Musica: Luis Riccardi - Letra: Juan Andrés Caruso,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias - Canta Alberto Arenas - El Tango De Buenos Aires\Francisco Canaro - Alberto Arenas - Píccolo Navío.flac,True,True,1,False,True,True
Lorenzo,Francisco Canaro,1950-05-05,tango,Musica: Agustín Bardi,D:\Dropbox\TDJ\MUSICA\Eduardo\1\01 Lorenzo.mp3,True,True,1,False,True,True
Cualquier Cosa,Francisco Canaro,1950,tango,J. M. Velich,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\04 Cualquier Cosa.mp3,True,True,2,False,True,False
Piccolo navio,Francisco Canaro / Alberto Arenas,1950-12-06,tango,Musica: Luis Riccardi - Letra: Juan Andrés Caruso,D:\Dropbox\TDJ\MUSICA\Eduardo\7\06 Piccolo Navio.mp3,True,True,1,False,True,True
Lo que nunca te dirán,Francisco Canaro / Mario Alonso,1950-05-05,tango,Musica: Francisco Canaro - Letra: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\7\02 Lo Que Nunca Te Diran.mp3,True,True,1,False,True,True
Piccolo navio,Francisco Canaro / Alberto Arenas,1950-12-06,tango,Musica: Luis Riccardi - Letra: Juan Andrés Caruso,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Alberto Arenas - Píccolo Navío.flac,True,True,1,False,True,True
Madreselva,Francisco Canaro,1951,tango,F. Canaro - L. C. Amadori,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\01 Madreselva.mp3,True,True,1,False,True,False
Vinacho y Vinagrillo,Francisco Canaro / Alberto Arenas y Mario Alonso,1951-05-18,tango milonga,Musica: ? - Letra: ?,D:\Dropbox\TDJ\MUSICA\Eduardo\7\05 Vinacho Y Vinagrillo.mp3,True,True,1,False,True,True
El esquinazo,Quinteto Pirincho,1951,tango milonga,A. Villoldo,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\09 El Esquinazo         -.mp3,True,True,1,False,True,False
La cumparsita,Francisco Canaro,1951,tango,"Aut: Enrique Pedro Maroni, Pascual Contursi, Com: Gerardo Matos Rodríguez",D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\07 La Cumparsita (Si Supieras).mp3,True,True,3,False,True,False
Bandoneón arrabalero,Francisco Canaro / Mario Alonso,1951-06-12,tango,Musica: Bachicha - Letra: Pascual Contursi,D:\Dropbox\TDJ\MUSICA\Eduardo\2\09 Bandoneón Arrabalero.mp3,True,True,1,False,True,True
Adiós pampa mía,Francisco Canaro / Alberto Arenas,1951-11-29,tango,Musica: Francisco Canaro y Mariano Mores - Letra: Ivo Pelay,D:\Dropbox\TDJ\MUSICA\Eduardo\3\Adiós Pampa Mía.mp3,True,True,1,False,True,True
Corazón de oro,Francisco Canaro,1951-11-26,tango vals,Musica: Francisco Canaro - Letra: Jesús Fernández Blanco,D:\Dropbox\TDJ\MUSICA\Eduardo\5\01 Corazon De Oro.mp3,True,True,1,False,True,True
La Barra Fuerte,Quinteto Pirincho,1952,tango,,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\05 La Barra Fuerte.mp3,True,True,1,False,True,False
Felicia,Quinteto Pirincho,1952,tango,Carlos Pacheco - Enrique Saborido,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\12 Felicia.mp3,True,True,2,False,True,False
Flor de Arrabal,Francisco Canaro / Alberto Arenas y Mario Alonso,1952-08-11,tango milonga,Musica: ? - Letra: ?,D:\Dropbox\TDJ\MUSICA\Eduardo\1\02 Flor De Arrabal.mp3,True,True,1,False,True,True
Cuna de fango,Francisco Canaro / Alberto Arenas,1952-08-11,tango,Musica: Francisco Canaro - Letra: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias - Canta Alberto Arenas - El Tango De Buenos Aires\Francisco Canaro - Alberto Arenas - Cuna De Fango.flac,True,True,1,False,True,True
El opio,Francisco Canaro,1952-05-29,tango,Musica: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\2\10 El Opio.mp3,True,True,1,False,True,True
Cuna de fango,Francisco Canaro / Alberto Arenas,1952-08-11,tango,Musica: Francisco Canaro - Letra: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\2\11 Cuna De Fango.mp3,True,True,1,False,True,True
Cuna de fango,Francisco Canaro / Alberto Arenas,1952-08-11,tango,Musica: Francisco Canaro - Letra: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Alberto Arenas - Cuna De Fango.flac,True,True,1,False,True,True
Cuna de fango,Francisco Canaro / Alberto Arenas,1952-08-11,tango,Musica: Francisco Canaro - Letra: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\3\Cuna De Fango.mp3,True,True,1,False,True,True
Bailando me diste un beso,Francisco Canaro / Alberto Arenas y Mario Alonso,1952-11-04,tango vals,Musica: Rafael Rossi - Letra: Eugenio Cárdenas,D:\Dropbox\TDJ\MUSICA\Eduardo\3\Bailando Me Diste Un Beso.mp3,True,True,1,False,True,True
Quejas de bandoneón,Francisco Canaro,1953-03-17,tango,Musica: Juan de Dios Filiberto,D:\Dropbox\TDJ\MUSICA\Eduardo\4\Quejas De Bandoneon  -  Comodin.mp3,True,True,1,False,True,True
Compadre Que Le Va Hacer,Francisco Canaro,1953,tango milonga,A. Troilo - J. Razzano,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\04 Compadre Que Le Va Hacer.mp3,True,True,1,False,True,False
Cimarrona,Francisco Canaro / Alberto Arenas,1953-03-31,tango vals,Musica: Fausto Frontera - Letra: Cátulo Castillo,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias - Canta Alberto Arenas - El Tango De Buenos Aires\Francisco Canaro - Alberto Arenas - Cimarrona.flac,True,True,1,False,True,True
Tiempos Viejos,Francisco Canaro,1953,tango,,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\07 Tiempos Viejos.mp3,True,True,1,False,True,False
Yo no se que me han hecho tus ojos,Francisco Canaro,1953,tango vals,F. Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\13 Yo No Se Que Me Han Hecho Tus Ojo.mp3,True,True,1,False,True,False
El Tigre,Francisco Canaro,1953,tango,F. Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\17 El Tigre.mp3,True,True,3,False,True,False
Esta noche me emborracho,Francisco Canaro / Alberto Arenas,1953-03-20,tango,Musica: Enrique Santos Discepolo - Letra: Enrique Santos Discepolo,D:\Dropbox\TDJ\MUSICA\Eduardo\2\14 Esta Noche Me Emborracho.mp3,True,True,1,False,True,True
Griseta,Francisco Canaro / Mario Alonso,1953-03-25,tango,Musica: Enrique Delfino - Letra: José González Castillo,D:\Dropbox\TDJ\MUSICA\Eduardo\6\15 Griseta.mp3,True,True,1,False,True,True
Una canción,Francisco Canaro / Mario Alonso,1953-08-14,tango,Musica: Aníbal Troilo - Letra: Cátulo Castillo,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - Una Canción.flac,True,True,1,False,True,True
El Chino Pantaleo,Francisco Canaro,1953,tango milonga,,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\El Chino Pantaleon  1 - esu320(145)o.mp3,True,True,1,False,True,False
El Chino Pantaleó,Francisco Canaro,1953,tango milonga,,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\El Chino Pantaleón  - Mono176.mp3,True,True,1,False,True,False
El Chino Pantaleón,Francisco Canaro / Alberto Arenas y Mario Alonso,1953-03-25,tango milonga,Musica: Francisco Canaro - Letra: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\1\El Chino Pantaleón new.mp3,True,True,1,False,True,True
El Chino Pantaleón,Francisco Canaro / Alberto Arenas y Mario Alonso,1953-03-25,tango milonga,Musica: Francisco Canaro - Letra: Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Eduardo\1\El Chino Pantaleón    1- esu145.mp3,True,True,1,False,True,True
Se Dice De M,Francisco Canaro,1954,tango milonga,,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\Se Dice De Mi  1 - esu320(Mono175)ok.mp3,True,True,1,False,True,False
Toma estas monedas,Francisco Canaro / Alberto Arenas,1954-01-04,tango,Musica: Juan D´Arienzo y Fulvio Salamanca - Letra: Carlos Bahr,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Francsico Canaro y su orquesta tipica 1050 1057\Francisco Canaro - Toma estas monedas.flac,True,True,1,False,True,True
Prohibido,Francisco Canaro / Mario Alonso,1954-03-30,tango,Musica: Manuel Sucher - Letra: Carlos Bahr,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Francsico Canaro y su orquesta tipica 1050 1057\Francisco Canaro - Prohibido.flac,True,True,1,False,True,True
Cómo querés que te quiera,Francisco Canaro / Alberto Arenas,1954-03-30,tango,Musica: Héctor Marcó - Letra: Héctor Marcó,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias - Canta Alberto Arenas - El Tango De Buenos Aires\Francisco Canaro - Alberto Arenas - Cómo Querés Que Te Quiera.flac,True,True,1,False,True,True
Se Dice De Mi,Francisco Canaro,1954,tango milonga,,D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\Se Dice De Mi New Mono175.mp3,True,True,1,False,True,False
